 2019/04/12-09:40	 1691.42	 1699.04	 1687.55	 1695.78	         497064	           	       0.00	  497064.00	  450976.81	  336582.31	      -2.65	      -2.02	      -1.25	
 2019/04/12-09:45	 1695.74	 1695.99	 1690.40	 1695.48	         347014	           	       0.00	  347014.00	  465975.59	  354447.91	      -2.51	      -2.12	      -0.78	
 2019/04/12-09:50	 1696.15	 1696.15	 1687.34	 1687.34	         328916	           	       0.00	  328916.00	  465756.19	  371217.41	      -3.02	      -2.30	      -1.44	
 2019/04/12-09:55	 1687.47	 1694.27	 1686.37	 1692.65	         321557	           	       0.00	  321557.00	  457017.19	  386277.19	      -2.96	      -2.43	      -1.06	
 2019/04/12-10:00	 1692.52	 1693.95	 1691.26	 1692.12	         259191	           	       0.00	  259191.00	  350748.41	  386284.31	      -2.93	      -2.53	      -0.79	
 2019/04/12-10:05	 1692.47	 1698.77	 1692.47	 1695.03	         278012	           	       0.00	  278012.00	  306938.00	  378957.41	      -2.63	      -2.55	      -0.16	
 2019/04/12-10:10	 1694.98	 1698.27	 1694.69	 1697.69	         221397	           	       0.00	  221397.00	  281814.59	  373895.09	      -2.16	      -2.47	       0.63	
 2019/04/12-10:15	 1697.88	 1702.35	 1697.78	 1699.99	         271193	           	       0.00	  271193.00	  270270.00	  368013.09	      -1.58	      -2.30	       1.43	
 2019/04/12-10:20	 1700.10	 1701.71	 1698.61	 1699.05	         192266	           	       0.00	  192266.00	  244411.80	  350714.50	      -1.19	      -2.07	       1.78	
 2019/04/12-10:25	 1698.89	 1699.61	 1696.54	 1696.77	         167052	           	       0.00	  167052.00	  225984.00	  288366.19	      -1.04	      -1.87	       1.65	
 2019/04/12-10:30	 1696.77	 1698.66	 1695.52	 1698.57	         167888	           	       0.00	  167888.00	  203959.20	  255448.59	      -0.78	      -1.65	       1.75	
 2019/04/12-10:35	 1698.37	 1698.65	 1695.57	 1696.26	         154627	           	       0.00	  154627.00	  190605.20	  236209.91	      -0.74	      -1.47	       1.45	
 2019/04/12-10:40	 1696.10	 1697.36	 1695.14	 1695.92	         172177	           	       0.00	  172177.00	  170802.00	  220536.00	      -0.74	      -1.32	       1.17	
 2019/04/12-10:45	 1695.79	 1696.37	 1692.68	 1695.91	         190491	           	       0.00	  190491.00	  170447.00	  207429.41	      -0.72	      -1.20	       0.96	
 2019/04/12-10:50	 1696.12	 1696.31	 1693.41	 1693.46	         138475	           	       0.00	  138475.00	  164731.59	  195357.80	      -0.90	      -1.14	       0.49	
 2019/04/12-10:55	 1693.11	 1694.93	 1691.04	 1691.26	         197210	           	       0.00	  197210.00	  170596.00	  187277.59	      -1.20	      -1.15	      -0.10	
 2019/04/12-11:00	 1691.76	 1696.13	 1691.69	 1696.13	         183134	           	       0.00	  183134.00	  176297.41	  183451.30	      -1.04	      -1.13	       0.18	
 2019/04/12-11:05	 1695.99	 1698.80	 1695.99	 1698.53	         142120	           	       0.00	  142120.00	  170286.00	  170544.00	      -0.71	      -1.05	       0.68	
 2019/04/12-11:10	 1698.62	 1701.05	 1698.09	 1700.71	         134057	           	       0.00	  134057.00	  158999.20	  164723.09	      -0.26	      -0.89	       1.25	
 2019/04/12-11:15	 1700.78	 1700.90	 1697.46	 1697.74	         113989	           	       0.00	  113989.00	  154102.00	  159416.80	      -0.15	      -0.74	       1.18	
 2019/04/12-11:20	 1697.62	 1697.80	 1690.62	 1692.25	         168322	           	       0.00	  168322.00	  148324.41	  159460.20	      -0.50	      -0.69	       0.39	
 2019/04/12-11:25	 1691.97	 1696.09	 1691.97	 1692.18	         118218	           	       0.00	  118218.00	  135341.20	  155819.30	      -0.77	      -0.71	      -0.13	
 2019/04/12-11:30	 1691.97	 1692.50	 1690.24	 1691.17	         140602	           	       0.00	  140602.00	  135037.59	  152661.80	      -1.06	      -0.78	      -0.56	
 2019/04/12-13:05	 1691.69	 1693.27	 1690.58	 1690.80	         191077	           	       0.00	  191077.00	  146441.59	  152720.41	      -1.30	      -0.88	      -0.83	
 2019/04/12-13:10	 1690.85	 1692.56	 1690.73	 1690.97	         126684	           	       0.00	  126684.00	  148980.59	  151541.30	      -1.46	      -1.00	      -0.92	
 2019/04/12-13:15	 1691.04	 1691.34	 1690.19	 1690.33	         119951	           	       0.00	  119951.00	  139306.41	  143815.41	      -1.62	      -1.12	      -0.99	
 2019/04/12-13:20	 1690.20	 1694.37	 1689.27	 1694.37	         149742	           	       0.00	  149742.00	  145611.20	  140476.20	      -1.40	      -1.18	      -0.45	
 2019/04/12-13:25	 1694.21	 1697.38	 1693.73	 1697.34	         147566	           	       0.00	  147566.00	  147004.00	  141020.80	      -0.98	      -1.14	       0.31	
 2019/04/12-13:30	 1697.42	 1698.16	 1693.46	 1693.56	         130218	           	       0.00	  130218.00	  134832.20	  140636.91	      -0.94	      -1.10	       0.31	
 2019/04/12-13:35	 1693.55	 1694.16	 1689.23	 1689.23	         161943	           	       0.00	  161943.00	  141884.00	  145432.30	      -1.25	      -1.13	      -0.23	
 2019/04/12-13:40	 1689.01	 1690.74	 1688.44	 1689.24	         153838	           	       0.00	  153838.00	  148661.41	  143983.91	      -1.47	      -1.20	      -0.54	
 2019/04/12-13:45	 1689.61	 1690.62	 1686.32	 1689.10	         189097	           	       0.00	  189097.00	  156532.41	  151071.80	      -1.64	      -1.29	      -0.70	
 2019/04/12-13:50	 1689.07	 1690.16	 1687.40	 1689.36	         148094	           	       0.00	  148094.00	  156638.00	  151821.00	      -1.73	      -1.37	      -0.71	
 2019/04/12-13:55	 1689.61	 1691.87	 1689.27	 1689.79	         128285	           	       0.00	  128285.00	  156251.41	  145541.80	      -1.75	      -1.45	      -0.60	
 2019/04/12-14:00	 1689.81	 1689.81	 1686.67	 1688.16	         109954	           	       0.00	  109954.00	  145853.59	  143868.80	      -1.87	      -1.53	      -0.68	
 2019/04/12-14:05	 1688.24	 1688.70	 1686.70	 1686.80	         112102	           	       0.00	  112102.00	  137506.41	  143083.91	      -2.06	      -1.64	      -0.84	
 2019/04/12-14:10	 1687.00	 1687.00	 1683.29	 1685.61	         190695	           	       0.00	  190695.00	  137826.00	  147179.20	      -2.28	      -1.77	      -1.02	
 2019/04/12-14:15	 1685.39	 1686.56	 1685.28	 1685.88	         136659	           	       0.00	  136659.00	  135539.00	  146088.50	      -2.40	      -1.89	      -1.01	
 2019/04/12-14:20	 1685.76	 1693.49	 1684.11	 1693.30	         201566	           	       0.00	  201566.00	  150195.20	  153223.30	      -1.87	      -1.89	       0.03	
 2019/04/12-14:25	 1693.34	 1693.72	 1691.47	 1691.79	         182108	           	       0.00	  182108.00	  164626.00	  155239.80	      -1.56	      -1.82	       0.52	
 2019/04/12-14:30	 1691.81	 1691.89	 1688.82	 1689.57	         123048	           	       0.00	  123048.00	  166815.20	  152160.80	      -1.48	      -1.75	       0.55	
 2019/04/12-14:35	 1689.64	 1697.51	 1689.25	 1697.51	         198093	           	       0.00	  198093.00	  168294.80	  153060.41	      -0.76	      -1.56	       1.59	
 2019/04/12-14:40	 1697.57	 1698.22	 1695.98	 1698.21	         215212	           	       0.00	  215212.00	  184005.41	  159772.20	      -0.14	      -1.27	       2.27	
 2019/04/12-14:45	 1698.31	 1698.68	 1695.79	 1695.79	         207504	           	       0.00	  207504.00	  185193.00	  167694.09	       0.16	      -0.99	       2.30	
 2019/04/12-14:50	 1695.85	 1695.95	 1693.85	 1694.70	         203359	           	       0.00	  203359.00	  189443.20	  177034.59	       0.31	      -0.73	       2.07	
